City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iqaluit,63.7506,-68.5145,40.73,60,75,19.57,CA,1686770831
1,mariehamn,60.0973,19.9348,66.06,52,0,5.75,AX,1686770831
2,gadzhiyevo,69.2551,33.3362,49.08,72,100,15.68,RU,1686770831
3,bage,-31.3314,-54.1069,56.98,67,75,11.5,BR,1686770831
4,waitangi,-43.9535,-176.5597,51.82,77,99,26.06,NZ,1686770831
5,nova russas,-4.7067,-40.5631,92.88,26,1,8.08,BR,1686770832
6,port-aux-francais,-49.35,70.2167,43.95,99,100,22.48,TF,1686770832
7,colonia,50.9333,6.95,74.86,36,0,3.44,DE,1686770821
8,meizhou,24.2977,116.1072,75.74,98,92,1.54,CN,1686770832
9,northam,51.0333,-4.2167,69.39,71,99,2.53,GB,1686770598
10,nova sintra,14.8667,-24.7167,69.75,79,39,14.9,CV,1686770832
11,ivdel',60.6911,60.4206,52.18,82,21,3.65,RU,1686770832
12,port alfred,-33.5906,26.891,54.18,82,100,1.99,ZA,1686770833
13,leticia,-4.2153,-69.9406,71.65,78,100,9.22,CO,1686770833
14,awjilah,29.1081,21.2869,90.05,25,0,6.73,LY,1686770833
15,amga,60.8953,131.9608,39.69,97,87,3.85,RU,1686770592
16,albany,42.6001,-73.9662,64.81,83,100,1.99,US,1686770610
17,nagqu,31.5,92.0,38.34,89,100,5.55,CN,1686770833
18,aripuana,-9.1667,-60.6333,78.93,50,94,4.65,BR,1686770834
19,adamstown,-25.066,-130.1015,69.33,67,2,14.14,PN,1686770834
20,yerofey pavlovich,53.9667,121.9667,45.52,65,99,3.18,RU,1686770834
21,aasiaat,68.7098,-52.8699,32.81,75,98,7.72,GL,1686770834
22,west island,-12.1568,96.8225,80.58,89,40,21.92,CC,1686770551
23,saipan,15.1355,145.701,83.1,100,20,13.8,MP,1686770616
24,edinburgh of the seven seas,-37.0676,-12.3116,58.32,76,58,27.94,SH,1686770721
25,bethel,41.3712,-73.414,68.47,86,100,4.61,US,1686770835
26,puerto natales,-51.7236,-72.4875,39.65,81,75,17.27,CL,1686770835
27,saint-philippe,-21.3585,55.7679,69.12,82,46,8.3,RE,1686770563
28,badger,64.8,-147.5333,56.37,62,75,9.22,US,1686770835
29,grytviken,-54.2811,-36.5092,26.76,85,57,5.37,GS,1686770835
30,tiksi,71.6872,128.8694,33.26,81,100,7.56,RU,1686770835
31,goba,7.0167,39.9833,50.45,88,100,5.08,ET,1686770835
32,hawaiian paradise park,19.5933,-154.9731,76.51,90,100,5.75,US,1686770836
33,st. john's,47.5649,-52.7093,55.27,82,75,6.91,CA,1686770828
34,bikenibeu village,1.3673,173.1241,84.16,84,20,8.05,KI,1686770836
35,port mathurin,-19.6833,63.4167,76.62,80,8,20.27,MU,1686770836
36,ta`u,-14.2336,-169.5144,80.94,81,100,19.04,AS,1686770836
37,crane,31.3974,-102.3501,96.49,8,95,15.3,US,1686770836
38,udachny,66.4167,112.4,46.45,93,100,12.44,RU,1686770836
39,ishim,56.1128,69.4902,59.99,61,58,9.55,RU,1686770836
40,papatowai,-46.5619,169.4708,44.13,71,100,3.85,NZ,1686770837
41,mount isa,-20.7333,139.5,53.37,40,3,10.36,AU,1686770837
42,narasannapeta,18.4167,84.05,87.55,59,95,5.17,IN,1686770837
43,khandyga,62.6667,135.6,47.48,96,100,2.33,RU,1686770837
44,bredasdorp,-34.5322,20.0403,53.73,74,87,11.88,ZA,1686770660
45,ebon,4.582,168.6964,83.35,80,46,15.37,MH,1686770837
46,yellowknife,62.456,-114.3525,61.32,55,100,6.91,CA,1686770837
47,vadso,70.0744,29.7487,56.28,58,0,19.57,NO,1686770838
48,atafu village,-8.5421,-172.5159,82.99,70,11,9.55,TK,1686770838
49,kailua-kona,19.6406,-155.9956,82.36,83,20,10.36,US,1686770838
50,akcakale,36.7111,38.9475,78.69,43,0,14.81,TR,1686770838
51,blackmans bay,-43.0167,147.3167,41.52,89,7,7.0,AU,1686770838
52,lata,40.1629,-8.3327,72.91,70,6,5.97,PT,1686770838
53,tekkalakote,15.5333,76.8833,84.16,56,15,18.77,IN,1686770839
54,flin flon,54.7682,-101.865,57.04,62,75,10.36,CA,1686770839
55,sherbrooke,45.4001,-71.8991,73.98,56,0,4.61,CA,1686770770
56,georgetown,5.4112,100.3354,84.13,85,20,3.44,MY,1686770600
57,campo gallo,-26.5833,-62.85,62.85,18,0,3.94,AR,1686770839
58,nephi,39.7102,-111.8363,74.28,47,95,5.95,US,1686770839
59,antonio enes,-16.2325,39.9086,73.45,66,2,7.54,MZ,1686770839
60,caleta de carquin,-11.0925,-77.6267,72.52,70,14,11.52,PE,1686770840
61,mamboma,8.0833,-11.6833,74.43,97,89,2.53,SL,1686770840
62,chonchi,-42.6128,-73.8092,51.12,97,100,2.77,CL,1686770840
63,margaret river,-33.95,115.0667,59.97,68,100,18.7,AU,1686770840
64,laguna,38.421,-121.4238,85.08,53,0,6.91,US,1686770840
65,new norfolk,-42.7826,147.0587,42.71,79,0,2.48,AU,1686770840
66,cabo san lucas,22.8909,-109.9124,93.61,45,0,6.91,MX,1686770689
67,oodweyne,9.4092,45.064,78.48,51,100,8.75,SO,1686770840
68,inirida,3.8653,-67.9239,84.51,76,56,2.35,CO,1686770841
69,anadyr,64.75,177.4833,37.9,64,0,11.18,RU,1686770841
70,tadine,-21.55,167.8833,69.04,68,0,3.04,NC,1686770841
71,tazovsky,67.4667,78.7,45.52,92,100,19.89,RU,1686770841
72,dudinka,69.4058,86.1778,40.62,77,10,11.7,RU,1686770841
73,hermanus,-34.4187,19.2345,52.81,75,96,18.54,ZA,1686770841
74,ushuaia,-54.8,-68.3,42.46,61,40,0.0,AR,1686770842
75,qaqortoq,60.7167,-46.0333,38.7,94,100,2.35,GL,1686770842
76,dryden,49.7833,-92.7503,55.69,62,75,8.05,CA,1686770842
77,olonkinbyen,70.9221,-8.7187,36.59,98,100,16.51,SJ,1686770842
78,puerto ayora,-0.7393,-90.3518,84.16,86,78,10.0,EC,1686770843
79,harar,9.3094,42.1258,62.42,88,100,4.09,ET,1686770687
80,pandan,14.0453,124.1694,80.74,85,100,5.55,PH,1686770843
81,san patricio,28.017,-97.5169,95.72,44,95,17.85,US,1686770844
82,zhigalovo,54.8097,105.1578,45.25,96,100,9.37,RU,1686770844
83,enewetak,11.3474,162.3373,81.66,82,100,21.32,MH,1686770606
84,victorica,-36.2151,-65.4359,61.63,21,27,16.31,AR,1686770844
85,usogorsk,63.4106,48.6872,49.89,61,35,5.06,RU,1686770844
86,belozersk,60.0326,37.7957,59.92,61,30,5.01,RU,1686770844
87,longyearbyen,78.2186,15.6401,37.24,75,75,16.11,SJ,1686770845
